Step,Time_sec
QC metrics,1.1458358764648438
Filter by n_genes,0.11184024810791016
Normalize,5.302695989608765
Log1p,0.1920640468597412
HVG,4.000545263290405
PCA,2.8426361083984375
Scaling,2.438251495361328
PCA,3.4574644565582275
Embedding extraction,0.0002486705780029297
Variance explained,1.0728836059570312e-05
Loadings extraction,0.00010514259338378906
Top gene extraction,0.008728504180908203
Neighbors,57.689658403396606
Clustering,3.7131764888763428
UMAP,13.2952721118927
Marker detection,30.14682102203369
