cluster,gene,logFC
0,Ctsd,
0,Lgmn,
0,Ftl1,
0,Ctsb,
0,Cstb,
0,Cxcl2,
0,Ccl7,
0,Grn,
0,Pf4,
0,Apoe,
1,Clec4a2,
1,C5ar1,
1,Clec4d,
1,Ccl9,
1,Cxcl2,
1,Cd52,
1,Cstb,
1,Ier3,
1,Srgn,
1,Ccr2,
2,Srgn,
2,Cd52,
2,Ccr2,
2,Clec4e,
2,Cd14,
2,Il1b,
2,C5ar1,
2,Vcan,
2,Rilpl2,
2,Clec4d,
3,Ctsb,
3,Pf4,
3,Lgmn,
3,Ctsd,
3,Grn,
3,Ccl7,
3,Ftl1,
3,Cstb,
3,Ms4a7,
3,Plin2,
4,Pf4,
4,Ctsb,
4,Lgals1,
4,Dab2,
4,Ctsd,
4,Lgmn,
4,Ftl1,
4,Ccl7,
4,Trem2,
4,Cstb,
5,Plac8,
5,Hp,
5,Ifitm6,
5,Gsr,
5,Msrb1,
5,Lsp1,
5,Ly6e,
5,Cybb,
5,Cd52,
5,Smpdl3a,
6,Bgn,
6,Hmgn1,
6,Fbln2,
6,Axl,
6,Slc25a4,
6,Dcn,
6,Fstl1,
6,Cald1,
6,Loxl1,
6,Fbn1,
7,Cd74,
7,H2-Aa,
7,H2-DMb1,
7,H2-Ab1,
7,H2-DMa,
7,H2-Eb1,
7,Lsp1,
7,Cst3,
7,Gm2a,
7,Crip1,
8,Cd24a,
8,Cd74,
8,H2-Eb1,
8,H2-Aa,
8,H2-Ab1,
8,H2-DMb1,
8,Alas2,
8,H2-DMa,
8,Hbb-bt,
8,Hba-a1,
9,Ecscr,
9,Egfl7,
9,Ctla2a,
9,Cdh5,
9,Gng11,
9,Pecam1,
9,Fabp4,
9,Tm4sf1,
9,Eng,
9,Col4a2,
10,AA467197,
10,Tm4sf1,
10,Fkbp1a,
10,Rhoc,
10,Cldn5,
10,Apln,
10,Pgf,
10,Csrp1,
10,Cdh5,
10,Ecscr,
11,Cd81,
11,Ctla2a,
11,Rhoc,
11,Fkbp1a,
11,AA467197,
11,Tm4sf1,
11,Pgf,
11,Tubb5,
11,Fabp4,
11,Cdh5,
12,Thbs4,
12,Fmod,
12,Serpinf1,
12,Lox,
12,Dcn,
12,Col1a1,
12,Col1a2,
12,Mgp,
12,Igfbp6,
12,Pcolce,
13,Fcgr1,
13,Marcksl1,
13,Ms4a6c,
13,Ifi204,
13,Isg15,
13,Ms4a6d,
13,Ms4a4c,
13,Irf7,
13,Aif1,
13,Ier3,
14,Rgs5,
14,Mfge8,
14,Tpm2,
14,Pdgfrb,
14,Igfbp7,
14,Cald1,
14,Col4a1,
14,Sparc,
14,Cd81,
14,Des,
15,Sdpr,
15,Ramp2,
15,Egfl7,
15,Flt1,
15,Fabp4,
15,Tspan7,
15,Pecam1,
15,Crip2,
15,Slc9a3r2,
15,Cdh5,
16,Rps2,
16,Hmgn1,
16,Srm,
16,Tnfrsf12a,
16,Slc25a4,
16,Mt2,
16,Pdpn,
16,Cald1,
16,Axl,
16,Serpine1,
17,Col3a1,
17,Gsn,
17,Serpine2,
17,Fstl1,
17,Serping1,
17,Col1a2,
17,Pcolce,
17,Col1a1,
17,Dcn,
17,Mfap5,
18,Cryab,
18,Plp1,
18,Fxyd3,
18,Cd9,
18,Pmp22,
18,Timp3,
18,Gatm,
18,Cnp,
18,Mbp,
18,Mpz,
19,Acta1,
19,Tnnc2,
19,Ckm,
19,Mylpf,
19,Myl1,
19,Tnni2,
19,Tnnt3,
19,Pvalb,
19,Tpm1,
19,Mustn1,
