"cluster","genes"
"0","Ccl12, Cbr2, Folr2, Pf4, C1qa"
"1","Clec4b1, Lpl, Pilrb1, Clec4a2, Pira2"
"2","Dmkn, Vcan, Trem1, Pilrb1, Ptgs2"
"3","Ppbp, Gpnmb, Cxcl3, Arg1, Pf4"
"4","Hp, Sell, Ifitm6, Itgal, Cd244"
"6","Cd7, Klrd1, Klrb1b, Cd209a, Klrk1"
"7","Aplnr, Plvap, Clec14a, Stmn2, Vwf"
"8","Pgf, Apln, Trp53i11, Sh2d5, Nos2"
"9","Uts2r, Chad, Fmod, Kera, Cilp2"
"10","Rgs4, Ano1, Kcnj8, Rasl12, Gm13889"
"11","Dpep1, Scara5, Efemp1, Osr2, Aldh1a2"
"12","Kcna1, Fxyd3, Mpz, Mal, Sostdc1"
"13","Cd163, Npl, Lyve1, Ccl8, Slco2b1"
